"TimeStamp","Source","Destination","IPV4Address","Status","ResponseTime"
"11-09-2013 18:40:27","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:40:33","PRALAY-PC","192.168.1.1","192.168.1.1","","7"
"11-09-2013 18:40:38","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:40:44","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:40:49","PRALAY-PC","192.168.1.1","192.168.1.1","","3"
"11-09-2013 18:40:55","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:41:01","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:41:06","PRALAY-PC","192.168.1.1","192.168.1.1","","3"
"11-09-2013 18:41:12","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:41:18","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:41:23","PRALAY-PC","192.168.1.1","192.168.1.1","","2"
"11-09-2013 18:41:29","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:41:34","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:41:40","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:41:45","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:41:51","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:41:57","PRALAY-PC","192.168.1.1","192.168.1.1","","3"
"11-09-2013 18:42:02","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:42:08","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:42:14","PRALAY-PC","192.168.1.1","192.168.1.1","","5"
"11-09-2013 18:42:19","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:42:25","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:42:30","PRALAY-PC","192.168.1.1","192.168.1.1","","7"
"11-09-2013 18:42:36","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:42:41","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:42:47","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:42:53","PRALAY-PC","192.168.1.1","192.168.1.1","","2"
"11-09-2013 18:42:58","PRALAY-PC","192.168.1.1","192.168.1.1","","2"
"11-09-2013 18:43:04","PRALAY-PC","192.168.1.1","192.168.1.1","","9"
"11-09-2013 18:43:09","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:43:15","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:43:21","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:43:26","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:43:32","PRALAY-PC","192.168.1.1","192.168.1.1","","7"
"11-09-2013 18:43:37","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:43:43","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:43:48","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:43:54","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:44:00","PRALAY-PC","192.168.1.1","192.168.1.1","","2"
"11-09-2013 18:44:05","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:44:11","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:44:16","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:44:22","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:44:28","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:44:33","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:44:39","PRALAY-PC","192.168.1.1","192.168.1.1","","2"
"11-09-2013 18:44:44","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:44:50","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:44:56","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:45:01","PRALAY-PC","192.168.1.1","192.168.1.1","","2"
"11-09-2013 18:45:07","PRALAY-PC","192.168.1.1","192.168.1.1","","11"
"11-09-2013 18:45:12","PRALAY-PC","192.168.1.1","192.168.1.1","","6"
"11-09-2013 18:45:18","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:45:23","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:45:29","PRALAY-PC","192.168.1.1","192.168.1.1","","5"
"11-09-2013 18:45:35","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:45:40","PRALAY-PC","192.168.1.1","192.168.1.1","","2"
"11-09-2013 18:45:46","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:45:51","PRALAY-PC","192.168.1.1","192.168.1.1","","3"
"11-09-2013 18:45:57","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:46:03","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:46:08","PRALAY-PC","192.168.1.1","192.168.1.1","","2"
"11-09-2013 18:46:14","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:46:19","PRALAY-PC","192.168.1.1","192.168.1.1","","3"
"11-09-2013 18:46:25","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:46:31","PRALAY-PC","192.168.1.1","192.168.1.1","","8"
"11-09-2013 18:46:36","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:46:42","PRALAY-PC","192.168.1.1","192.168.1.1","","5"
"11-09-2013 18:46:47","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:46:53","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:46:58","PRALAY-PC","192.168.1.1","192.168.1.1","","5"
"11-09-2013 18:47:04","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:47:10","PRALAY-PC","192.168.1.1","192.168.1.1","","4"
"11-09-2013 18:47:15","PRALAY-PC","192.168.1.1","192.168.1.1","","82"
"11-09-2013 18:47:21","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:47:30","PRALAY-PC","192.168.1.1","192.168.1.1","Failed",
"11-09-2013 18:47:36","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:47:41","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:47:47","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:47:52","PRALAY-PC","192.168.1.1","192.168.1.1","","5"
"11-09-2013 18:47:58","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:48:04","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:48:09","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:48:15","PRALAY-PC","192.168.1.1","192.168.1.1","","6"
"11-09-2013 18:48:20","PRALAY-PC","192.168.1.1","192.168.1.1","","7"
"11-09-2013 18:48:26","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:48:32","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:48:37","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:48:43","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:48:48","PRALAY-PC","192.168.1.1","192.168.1.1","","3"
"11-09-2013 18:48:54","PRALAY-PC","192.168.1.1","192.168.1.1","","6"
"11-09-2013 18:48:59","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
"11-09-2013 18:49:05","PRALAY-PC","192.168.1.1","192.168.1.1","","1"
